place,local_authority,nation,highways_owner_name,highways_owner_url,street_lighting_owner_name,street_lighting_owner_url,police_force_name,police_neighbourhood_team_url,dno_operator,bid_name,bid_url,other_owners_notes
Accrington,Hyndburn Borough Council,England,Hyndburn Borough Council,,Hyndburn Borough Council,,,,,,,
Barnsley,Barnsley Council,England,Barnsley Council,,Barnsley Council,,,,,,,
Burnley,Burnley Council,England,Burnley Council,,Burnley Council,,,,,,,
Grimsby,North East Lincolnshire Council,England,North East Lincolnshire Council,,North East Lincolnshire Council,,,,,,,
Hastings,Hastings Borough Council,England,Hastings Borough Council,,Hastings Borough Council,,,,,,,
Hartlepool,Hartlepool Borough Council,England,Hartlepool Borough Council,,Hartlepool Borough Council,,,,,,,
Keighley,Bradford Council,England,Bradford Council,,Bradford Council,,,,,,,
Rotherham,Rotherham Metropolitan Borough Council,England,Rotherham Metropolitan Borough Council,,Rotherham Metropolitan Borough Council,,,,,,,
Scunthorpe,North Lincolnshire Council,England,North Lincolnshire Council,,North Lincolnshire Council,,,,,,,
Torquay,Torbay Council,England,Torbay Council,,Torbay Council,,,,,,,
Wrexham,Wrexham County Borough Council,Wales,Wrexham County Borough Council,,Wrexham County Borough Council,,,,,,,
