place,peer_place,similarity_score,rank
Accrington,Accrington,0.999999999,1
Accrington,Barnsley,0.8759369417375642,2
Barnsley,Barnsley,0.999999999,1
Barnsley,Accrington,0.8759369417375642,2
Barnsley,Burnley,0.6484528344878953,3
Burnley,Burnley,0.999999999,1
Burnley,Barnsley,0.6484528344878953,2
Burnley,Accrington,0.2007549614335158,3
Burnley,Grimsby,0.18089156908144766,4
Grimsby,Grimsby,0.999999999,1
Grimsby,Burnley,0.18089156908144766,2
Grimsby,Barnsley,0.17442771666804657,3
Grimsby,Accrington,0.10983168551730049,4
Hastings,Barnsley,0.10270936075440096,1
Hastings,Accrington,0.10230960314467485,2
Hastings,Burnley,0.0471257545440229,3
Hartlepool,Burnley,0.3273335345806704,1
Hartlepool,Barnsley,0.1598502184474313,2
Hartlepool,Accrington,-0.0017315829202946276,3
Keighley,Grimsby,0.31317758524637485,1
Keighley,Accrington,-0.11184825316217184,2
Rotherham,Grimsby,0.25244119524278785,1
