place,place_slug,local_authority,region_or_county,nation,nation_code
Accrington,accrington,Hyndburn Borough Council,North West,England,ENG
Barnsley,barnsley,Barnsley Council,Yorkshire and The Humber,England,ENG
Burnley,burnley,Burnley Council,North West,England,ENG
Grimsby,grimsby,North East Lincolnshire Council,Yorkshire and The Humber,England,ENG
Hastings,hastings,Hastings Borough Council,South East,England,ENG
Hartlepool,hartlepool,Hartlepool Borough Council,North East,England,ENG
Keighley,keighley,Bradford Council,Yorkshire and The Humber,England,ENG
Rotherham,rotherham,Rotherham Metropolitan Borough Council,Yorkshire and The Humber,England,ENG
Scunthorpe,scunthorpe,North Lincolnshire Council,Yorkshire and The Humber,England,ENG
Torquay,torquay,Torbay Council,South West,England,ENG
Wrexham,wrexham,Wrexham County Borough Council,North Wales,Wales,WLS
